alpha,max_depth,min_samples_leaf,criterion,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
0.875,13.0,5,gini,1e-06,0.6399033488008783,0.02669723424358426,0.5466385793198636,0.016472834581488623,0.7784870818000854,0.018441136999899754
0.875,13.0,5,gini,1e-05,0.6399791108574368,0.026719838186398715,0.5466268222186532,0.016490013745616077,0.7944189326000014,0.01750582779986871
0.75,13.0,5,gini,1e-05,0.6311387583180235,0.01602564827078967,0.5461750981093758,0.015017850687194108,0.7441954846000044,0.015419863400074974
0.75,13.0,5,gini,1e-06,0.6311140362530867,0.01605559966831107,0.5461354656861179,0.015011773425018088,0.7800715956000204,0.016291400800037083
0.75,13.0,5,gini,0.0,0.6311140362530867,0.01605559966831107,0.5461354656861179,0.015011773425018088,0.739840120000008,0.01703703700004553
0.875,,5,entropy,1e-05,0.6080548173298295,0.014958863566891191,0.5435947770011407,0.011066500342518262,1.3934846086000108,0.019325895000019955
0.875,,5,entropy,0.0,0.6076553469082642,0.014645180460206408,0.5433490772028218,0.010821274981708796,1.4280870188000336,0.017888757400032772
0.875,,5,entropy,1e-06,0.6076553469082642,0.014645180460206408,0.5433490772028218,0.010821274981708796,1.3751834988000156,0.017479493400060164
0.625,10.0,2,entropy,1e-06,0.6364150477428903,0.018703032376235204,0.5425998689781842,0.02267281822173416,1.2050545729999158,0.019549326400010614
0.625,10.0,2,entropy,1e-05,0.6364150477428903,0.018703032376235204,0.5425998689781842,0.02267281822173416,1.154694939800038,0.017244766000021627
0.625,10.0,2,entropy,0.0,0.6364150477428903,0.018703032376235204,0.5425998689781842,0.02267281822173416,1.1805042832000254,0.017384687799994934
0.875,13.0,1,gini,1e-05,0.6160128282317059,0.014445581859941579,0.542566583855298,0.01110571094426224,0.7411450305999097,0.017554985000060697
0.875,13.0,1,gini,1e-06,0.6158656072189594,0.014592037409195452,0.5424202091646975,0.011323137393710452,0.7318417006001254,0.01652379260003727
