configuration,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,kappa,recall_Normal,recall_Reconnaissance,recall_Backdoor,recall_DoS,recall_Exploits,recall_Analysis,recall_Fuzzers,recall_Worms,recall_Shellcode,recall_Generic
tree + SMOTE,1,0.7728448721929008,0.6103319574029691,0.5652130022232429,0.789841991172815,0.7226875350950503,0.7146625748672765,0.7866666666666666,0.6987607244995233,0.21142857142857144,0.800978792822186,0.5482035928143713,0.1890547263681592,0.7783278327832783,0.38461538461538464,0.7256637168141593,0.9796195652173914
tree + SMOTE,2,0.7889371830694402,0.6250317331316602,0.5784288564195235,0.8021573877930808,0.7368427765922647,0.7318806594305407,0.8451612903225807,0.6825548141086749,0.21142857142857144,0.8083197389885808,0.5823353293413174,0.12935323383084577,0.6859185918591859,0.6923076923076923,0.6371681415929203,0.9757699275362319
tree + SMOTE,3,0.7844872192900756,0.6164162322538088,0.5685189865039415,0.7985514160415388,0.732215448086244,0.726664300669198,0.8387096774193549,0.7311725452812202,0.16,0.7936378466557912,0.5618448637316562,0.205,0.6739967014843321,0.5384615384615384,0.6842105263157895,0.9771286231884058
tree + SMOTE,4,0.7878505640070371,0.6347806430043079,0.5665579578602821,0.8005160417721635,0.7355553041789961,0.7307156941916444,0.8395698924731183,0.7616777883698761,0.17714285714285713,0.7954360228198859,0.5798143156633723,0.12,0.6602528862012095,0.6923076923076923,0.7456140350877193,0.97599093997735
tree + SMOTE,5,0.7798302804512056,0.5978482562776843,0.5482902364523883,0.7948540917757984,0.7268624396178087,0.7212265322967477,0.8289605734767025,0.6644423260247855,0.15517241379310345,0.8052159739201304,0.5678346810422282,0.19900497512437812,0.6882902693787796,0.46153846153846156,0.631578947368421,0.9764439411098528
tree + SMOTE,6,0.7866494178525226,0.6309580136772868,0.5732763225411797,0.7981245024517034,0.732375581557586,0.7278020228678281,0.8672401433691757,0.7016205910390848,0.1896551724137931,0.8027709861450693,0.567235699311171,0.16417910447761194,0.5893347993402969,0.7692307692307693,0.6814159292035398,0.9768969422423556
tree + SMOTE,7,0.786235446313066,0.6380450442104108,0.5670182173200389,0.7999524187749079,0.7346047553523535,0.7288498606594975,0.843584229390681,0.6978074356530028,0.15517241379310345,0.8133659331703341,0.5564540281521414,0.20398009950248755,0.6761957119296317,0.6923076923076923,0.7610619469026548,0.9805209513023783
tree + SMOTE,8,0.7872186287192755,0.6523251981689755,0.5644638994379159,0.8002612973647025,0.7350999852120498,0.729670698629809,0.8544802867383513,0.6949475691134414,0.2742857142857143,0.8231458842705787,0.5588499550763701,0.10945273631840796,0.6534653465346535,0.7692307692307693,0.8141592920353983,0.9712344280860702
tree + SMOTE,9,0.7821992238033635,0.6129998485880737,0.5568268190832215,0.7953932908041585,0.728930628998531,0.723341469029277,0.8444444444444444,0.6959008579599618,0.21714285714285714,0.8205546492659054,0.5505988023952095,0.14427860696517414,0.6523652365236524,0.6153846153846154,0.6106194690265486,0.978708946772367
tree + SMOTE,10,0.7783182406209573,0.5899555516361308,0.5577048893457308,0.7942597212564425,0.7286392937566762,0.7207705494742332,0.8097491039426523,0.7340324118207817,0.12571428571428572,0.8254486133768353,0.537125748502994,0.18407960199004975,0.753025302530253,0.3076923076923077,0.6460176991150443,0.9766704416761042
